x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
x=550, y=71, w=89, h=407, t=183546560.5839
x=549, y=78, w=90, h=397, t=183546793.9173
x=543, y=73, w=97, h=405, t=183546927.2506
x=530, y=62, w=107, h=415, t=183547060.5839
x=502, y=56, w=116, h=422, t=183547193.9173
x=459, y=56, w=126, h=422, t=183547327.2506
x=389, y=61, w=135, h=418, t=183547560.5839
x=334, y=66, w=144, h=413, t=183547693.9173
x=288, y=70, w=152, h=408, t=183547827.2506
x=245, y=72, w=162, h=406, t=183548060.5839
x=215, y=72, w=172, h=406, t=183548193.9173
x=185, y=70, w=183, h=408, t=183548327.2506
x=155, y=64, w=196, h=414, t=183548460.5839
x=123, y=58, w=208, h=420, t=183548593.9173
x=81, y=57, w=215, h=420, t=183548827.2506
x=41, y=57, w=218, h=422, t=183548960.5839
x=4, y=64, w=213, h=413, t=183549093.9173
x=-34, y=70, w=207, h=409, t=183549227.2506
x=-66, y=74, w=197, h=405, t=183549360.5839
x=-97, y=87, w=179, h=390, t=183549593.9173
